verbatim	licenseId	spdxLicenseSeeAlso
"<a href=""http://creativecommons.org/publicdomain/mark/1.0/"" rel=""nofollow"">This work is available under the Creative Commons, Public Domain Mark</a>"	https://spdx.org/licenses/CC0-1.0	https://creativecommons.org/publicdomain/zero/1.0/legalcode
"<a href=""https://creativecommons.org/licenses/by-nc/3.0/"" rel=""nofollow"">You have permission to make copies of this work under a Creative Commons, Attribution, Non-commercial license.</a>"	https://spdx.org/licenses/CC-BY-3.0	https://creativecommons.org/licenses/by/3.0/legalcode
Arnold Arboretum of Harvard University	https://spdx.org/licenses/NA	NA
Attribution-NonCommercial-ShareAlike 3.0 Unported	https://spdx.org/licenses/CC-BY-NC-SA-3.0	https://creativecommons.org/licenses/by-nc-sa/3.0/legalcode
Carnegie Museum of Natural History	https://spdx.org/licenses/NA	NA
Copyright American Museum of Natural History. Materials in this collection are made available for personal, non-commercial, and educational use. Images and text may not be used for any commercial purposes without prior written permission from the American Museum of Natural History.	https://spdx.org/licenses/NA	NA
Copyright owner: UNEP-WCMC	https://spdx.org/licenses/NA	NA
Copyright Provisions and Restrictions on Copying: The Royal Ontario Museum works contained herein are protected by copyright (unless otherwise indicated), which is held by the Royal Ontario Museum. These works may be reproduced for non-commercial purposes if credit is given and copyright is acknowledged. These works may not be reproduced, in all or in part, for any commercial purpose except under a license from the Royal Ontario Museum. For permission to reproduce, please email: images@rom.on.ca		
Copyright Status: Public domain. The BHL considers that this work is no longer under copyright protection.	https://spdx.org/licenses/CC0-1.0	https://creativecommons.org/publicdomain/zero/1.0/legalcode
Digitized with the permission of the rights holder.	https://spdx.org/licenses/NA	NA
Harvard University Botany Libraries	https://spdx.org/licenses/NA	NA
http://biodiversitylibrary.org/permissions	https://spdx.org/licenses/NA	NA
http://biodiversitylibrary.org/permissions  Rights holder: Albany Museum (Grahamstown, South Africa)	https://spdx.org/licenses/NA	NA
http://biodiversitylibrary.org/permissions Rights holder: Albany Museum (Grahamstown, South Africa)	https://spdx.org/licenses/NA	NA
http://creativecommons.org/by-nc-sa/3.0/	https://spdx.org/licenses/CC-BY-NC-SA-3.0	https://creativecommons.org/licenses/by-nc-sa/1.0/legalcode
http://creativecommons.org/licenses/by/3.0/us/	https://spdx.org/licenses/CC-BY-NC-SA-3.0	https://creativecommons.org/licenses/by-nc-sa/1.0/legalcode
http://creativecommons.org/licenses/by/4.0	https://spdx.org/licenses/CC-BY-4.0	https://creativecommons.org/licenses/by/4.0/legalcode
http://creativecommons.org/licenses/by/4.0/	https://spdx.org/licenses/CC-BY-4.0	https://creativecommons.org/licenses/by/4.0/legalcode
http://creativecommons.org/licenses/by-nc/3.0/	https://spdx.org/licenses/CC-BY-NC-3.0	https://creativecommons.org/licenses/by-nc/3.0/legalcode
http://creativecommons.org/licenses/by-nc/4.0/	https://spdx.org/licenses/CC-BY-NC-4.0	https://creativecommons.org/licenses/by-nc/4.0/legalcode
http://creativecommons.org/licenses/by-nc-sa/3.0	https://spdx.org/licenses/CC-BY-NC-SA-3.0	https://creativecommons.org/licenses/by-nc-sa/3.0/legalcode
http://creativecommons.org/licenses/by-nc-sa/3.0/	https://spdx.org/licenses/CC-BY-NC-SA-3.0	https://creativecommons.org/licenses/by-nc-sa/3.0/legalcode
http://creativecommons.org/licenses/by-nc-sa/3.0/us/	https://spdx.org/licenses/CC-BY-NC-SA-3.0	https://creativecommons.org/licenses/by-nc-sa/3.0/legalcode
http://creativecommons.org/licenses/by-nc-sa/4.0	https://spdx.org/licenses/CC-BY-NC-SA-4.0	https://creativecommons.org/licenses/by-nc-sa/4.0/legalcode
http://creativecommons.org/licenses/by-nc-sa/4.0/	https://spdx.org/licenses/CC-BY-NC-SA-4.0	https://creativecommons.org/licenses/by-nc-sa/4.0/legalcode
https://biodiversitylibrary.org/permissions	https://spdx.org/licenses/NA	NA
https://creativecommons.org/licenses/by/4.0/	https://spdx.org/licenses/CC-BY-4.0	https://creativecommons.org/licenses/by/4.0/legalcode
https://creativecommons.org/licenses/by-nc-sa/4.0/	https://spdx.org/licenses/CC-BY-NC-SA-4.0	https://creativecommons.org/licenses/by-nc-sa/4.0/legalcode
https://creativecommons.org/licenses/by-sa/4.0/	https://spdx.org/licenses/CC-BY-SA-4.0	https://creativecommons.org/licenses/by-sa/4.0/legalcode
https://creativecommons.org/share-your-work/public-domain/cc0/	https://spdx.org/licenses/CC0-1.0	https://creativecommons.org/publicdomain/zero/1.0/legalcode
https://www.biodiversitylibrary.org/permissions	https://spdx.org/licenses/NA	NA
https://www.biodiversitylibrary.org/permissions/	https://spdx.org/licenses/NA	NA
http://www.biodiversitylibrary.org/permissions	https://spdx.org/licenses/NA	NA
http://www.biodiversitylibrary.org/permissions/	https://spdx.org/licenses/NA	NA
In copyright.  Digititized with permission of the rights holder.	https://spdx.org/licenses/NA	NA
In copyright.  Digitized with permission of the Field Museum of Chicago.  Contact dcc@library.uiuc.edu for information.	https://spdx.org/licenses/NA	NA
In copyright.  Digitized with permission of the Field Museum of Chicago.  Contact dcc@library.uiuc.edu for information.Contact dcc@library.uiuc.edu for information.	https://spdx.org/licenses/NA	NA
In copyright.  Digitized with permission of the Illinois Native Plant Society. Contact dcc@library.uiuc.edu for information.	https://spdx.org/licenses/NA	NA
In copyright.  Digitized with permission of the rights holder	https://spdx.org/licenses/NA	NA
In copyright. Digitized with permission of the rights holder.	https://spdx.org/licenses/NA	NA
In copyright.  Digitized with permission of the rights holder.  Contact digicc@library.illinois.edu for information.	https://spdx.org/licenses/NA	NA
In copyright.  Digitized with permission of the University of Illinois Board of Trustees.  Contact dcc@library.uiuc.edu for information.	https://spdx.org/licenses/NA	NA
In copyright. Digitized with permission of the University of Illinois Board of Trustees.  Contact digicc@library.illinois.edu for information.	https://spdx.org/licenses/NA	NA
In copyright.  Digitized with the permission of the Chicago Field Museum.  For information contact dcc@library.uiuc.edu.	https://spdx.org/licenses/NA	NA
In copyright. Digitized with the permission of the Chicago Field Museum.  For information contact dcc@library.uiuc.edu.	https://spdx.org/licenses/NA	NA
In copyright. Digitized with the permission of the Chicago Field Museum. For information contact dcc@library.uiuc.edu.	https://spdx.org/licenses/NA	NA
in copyright. Digitized with the permission of the rights holder.	https://spdx.org/licenses/NA	NA
In copyright.  Digitized with the permission of the rights holder.	https://spdx.org/licenses/NA	NA
In copyright. Digitized with the permission of the rights holder	https://spdx.org/licenses/NA	NA
In copyright. Digitized with the permission of the rights holder.	https://spdx.org/licenses/NA	NA
In copyright.Digitized with the permission of the rights holder.	https://spdx.org/licenses/NA	NA
In Copyright. Digitized with the permission of the rights holder	https://spdx.org/licenses/NA	NA
In Copyright. Digitized with the permission of the rights holder.	https://spdx.org/licenses/NA	NA
In copyright. Digitized with the permission of the University of Kansas Natural History Museum.	https://spdx.org/licenses/NA	NA
In public domain. Work published prior to 1923.	https://spdx.org/licenses/CC0-1.0	https://creativecommons.org/publicdomain/zero/1.0/legalcode
NIC	https://spdx.org/licenses/CC0-1.0	https://creativecommons.org/publicdomain/zero/1.0/legalcode
No known copyright restrictions as determined by scanning institution	https://spdx.org/licenses/CC0-1.0	https://creativecommons.org/publicdomain/zero/1.0/legalcode
No known copyright restrictions as determined by scanning institution.	https://spdx.org/licenses/CC0-1.0	https://creativecommons.org/publicdomain/zero/1.0/legalcode
Not in copyright	https://spdx.org/licenses/CC0-1.0	https://creativecommons.org/publicdomain/zero/1.0/legalcode
NOT IN COPYRIGHT	https://spdx.org/licenses/CC0-1.0	https://creativecommons.org/publicdomain/zero/1.0/legalcode
NOT_IN_COPYRIGHT	https://spdx.org/licenses/CC0-1.0	https://creativecommons.org/publicdomain/zero/1.0/legalcode
Not in copyright. The BHL affirms that this work is in the public domain.	https://spdx.org/licenses/CC0-1.0	https://creativecommons.org/publicdomain/zero/1.0/legalcode
Not in copyright. The BHL knows of no copyright restrictions on this item.	https://spdx.org/licenses/CC0-1.0	https://creativecommons.org/publicdomain/zero/1.0/legalcode
Not provided. Contact Holding Institution to verify copyright status.	https://spdx.org/licenses/NA	NA
Permissions to digitize granted by rights holder.	https://spdx.org/licenses/NA	NA
Permission to digitize granted by rights holder	https://spdx.org/licenses/NA	NA
Permission_to_digitize_granted_by_rights_holder	https://spdx.org/licenses/NA	NA
Permission to digitize granted by the rights holder	https://spdx.org/licenses/NA	NA
Public Domain.  Published 1923-1977 without copyright notice.	https://spdx.org/licenses/CC0-1.0	https://creativecommons.org/publicdomain/zero/1.0/legalcode
Public domain.  Published prior to 1923.	https://spdx.org/licenses/CC0-1.0	https://creativecommons.org/publicdomain/zero/1.0/legalcode
